ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Cooling Capacity (Btu/hr),Type,Reverse Cycle,Casement Window,Product Class,Variable Speed Compressor,Energy Efficiency Ratio (EER),Combined Energy Efficiency Ratio (CEER),Percent Less Energy Use than US Federal Standard,Annual Energy Use (kWh/yr),Connected Functionality,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier
2283164,TCL,TWAC-24CRA2/J3U(ES),",TWC-24CR2/UH (ES),",24000,Window,No,None,"5a. Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",,,10.3,10,1748,No,,,,10/30/2016,10/31/2016,United States,ES_1126578_TWAC-24CRA2/J3U(ES)_11022016023540_4140967
2323026,TCL,TWC-22CR2/UH (ES),,22000,Window,No,None,"5a. Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",,,10.3,10,1602,No,,,,07/18/2018,07/19/2018,United States,ES_1126578_TWC-22CR2/UH (ES)_07192018040915_3355458
2268162,TGM,MWDUT24BR2,,22000,Window,No,None,"5a. Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",,,10.3,10,1602,No,,,,05/20/2016,05/31/2016,"United States, Canada",ES_1127196_MWDUT24BR2_05312016095143_8303537
2302992,TGM,MWEUT15AR,,15100,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,,11.8,10,960,No,,,,08/28/2017,08/31/2017,"United States, Canada",ES_1127196_MWEUT15AR_08312017103845_5925431
2302994,TGM,MWEUT18BR,,18000,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,,11.8,10,1144,No,,,,08/28/2017,08/31/2017,"United States, Canada",ES_1127196_MWEUT18BR_08312017103904_5944544
2302993,TGM,MWEUT24BR,,25000,Window,No,None,"5a. Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",,,10.3,10,1820,No,,,,08/28/2017,08/31/2017,"United States, Canada",ES_1127196_MWEUT24BR_08312017103922_5962605
2260686,Thermal Zone,STW410AYRE,,10000,Through the Wall,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,,10.6,10,708,No,,,,02/15/2016,02/18/2016,"United States, Canada",ES_1108715_STW410AYRE_02242016085034_3834713
2276509,Thermal Zone,STW410AZEB,,10000,Through the Wall,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,,10.6,10,708,No,,,,08/20/2016,08/24/2016,"United States, Canada",ES_1108715_STW410AZEB_08252016214925_1765178
2260683,Thermal Zone,STW412AYRE,,12000,Through the Wall,No,None,"8b. Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",,,10.5,11,857,No,,,,02/15/2016,02/18/2016,"United States, Canada",ES_1108715_STW412AYRE_02242016085058_3858728
2256966,Thermal Zone,WA410YREC,,10000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,625,No,,,,12/22/2015,12/22/2015,United States,ES_1108715_WA410YREC_12172015155902_3682672
2256968,Thermal Zone,WA412YREC,,12000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,750,No,,,,12/22/2015,12/22/2015,United States,ES_1108715_WA412YREC_12172015160323_3506128
2256970,Thermal Zone,WA415YREC,,15100,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,,11.8,10,960,No,,,,12/22/2015,12/22/2015,United States,ES_1108715_WA415YREC_12172015160645_346948
2287357,Thermal Zone,WA415YRED,,15000,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,,11.8,10,953,No,,,,12/27/2016,12/27/2016,"United States, Canada",ES_1108715_WA415YRED_12292016090241_2161640
2255246,Thermal Zone,WA418ZREC,,18000,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,,11.8,10,1144,No,,,,12/03/2015,12/03/2015,United States,ES_1108715_WA418ZREC_12172015170010_4756280
2255248,Thermal Zone,WA425ZREC,,25000,Window,No,None,"5a. Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",,,10.3,10,1820,No,,,,12/22/2015,12/22/2015,United States,ES_1108715_WA425ZREC_12172015171010_6357232
2256681,Thermal Zone,WA46YREC,,6000,Window,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",,,12.1,10,372,No,,,,12/22/2015,12/22/2015,United States,ES_1108715_WA46YREC_12172015155217_6841241
2287353,Thermal Zone,WA46YRED,,6000,Window,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",,,12.1,10,372,No,,,,12/27/2016,12/27/2016,"United States, Canada",ES_1108715_WA46YRED_12292016090312_2192945
