ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Load Configuration,Additional Washer Features,Intended Market,Volume (cu. ft.),Integrated Modified Energy Factor (IMEF),US Federal Standard (IMEF),Annual Energy Use (kWh/yr),Integrated Water Factor (IWF),US Federal Standard (IWF),Annual Water Use (gallons/yr),Connected,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Paired ENERGY STAR Clothes Dryer Available,Paired ENERGY STAR Clothes Dryer ENERGY STAR Model Identifier,Date Available On Market,Date Certified,Markets,ENERGY STAR Model Identifier,Meets ENERGY STAR Most Efficient 2019 Criteria
2308537,LG,WT7100C*,,1,Top Load,Delayed Start,Residential,4.5,2.06,1.29,220,4.3,8.4,5721,No,,,,No,,11/30/2017,12/18/2017,"United States, Canada",ES_1118034_WT7100C*_12192017024232_70163137,No
2310492,LG,WT7200C*,,1,Top Load,None,Residential,5,2.38,1.29,130,3.7,8.4,5479,No,,,,No,,12/05/2016,02/09/2018,"United States, Canada",ES_1118034_WT7200C*_02092018060252_70172585,No
2320407,LG,WT7250C*,,1,Top Load,None,Residential,5,2.76,1.29,110,3.2,8.4,4720,No,,,,No,,05/18/2018,05/16/2018,"United States, Canada",ES_1118034_WT7250C*_05242018111228_70184257,No
2320408,LG,WT7300C*,,1,Top Load,None,Residential,5,2.76,1.29,110,3.2,8.4,4720,No,,,,No,,05/18/2018,05/16/2018,"United States, Canada",ES_1118034_WT7300C*_05242018111228_70184257,No
2310491,LG,WT7500C*,,1,Top Load,"Steam Cycle,Sanitize Option",Residential,5.2,2.38,1.29,130,3.7,8.4,5621,No,,,,No,,02/15/2016,02/09/2018,"United States, Canada",ES_1118034_WT7500C*_02092018060252_70172585,No
2310490,LG,WT7600H*A,,1,Top Load,"Steam Cycle,Sanitize Option",Residential,5.2,2.38,1.29,130,3.7,8.4,5643,No,,,,No,,02/15/2016,02/09/2018,"United States, Canada",ES_1118034_WT7600H*A_02092018060252_70172585,No
2310502,LG,WT7700H*A,,1,Top Load,"Steam Cycle,Sanitize Option",Residential,5.7,2.76,1.29,150,3.2,8.4,5381,No,,,,No,,04/21/2015,02/09/2018,"United States, Canada",ES_1118034_WT7700H*A_02092018060252_70172585,No
2335213,LG,WT7710H*A,,1,Top Load,"Steam Cycle,Sanitize Option",Residential,5.7,2.76,1.29,150,3.2,8.4,5381,No,,,,No,,03/26/2019,03/26/2019,"United States, Canada",ES_1118034_WT7710H*A_03262019040713_70220657,No
2334257,LG,WT7800C*,,1,Top Load,None,Residential,5.5,2.76,1.29,130,3.2,8.4,5145,No,,,,No,,03/06/2019,03/06/2019,"United States, Canada",ES_1118034_WT7800C*_03062019031942_70216927,No
2321577,LG,WT7900H*A,,1,Top Load,None,Residential,5.5,2.76,1.29,150,3.2,8.4,5145,No,,,,No,,07/03/2018,06/25/2018,"United States, Canada",ES_1118034_WT7900H*A_06262018105726_70189258,No
2335028,Magic Chef,MCSFLW27S,,665679018819,Front Load,Delayed Start,Residential,2.7,,1.84,75,3.2,4.7,2549,No,,,,,,01/11/2019,03/13/2019,United States,ES_1107227_MCSFLW27S_03142019051011_0211317,No
